,Descripción de productos,Unidad de Medida,Cantidad Mensual de Consenso,Precios,Córdobas,Fecha
7610,Transporte ,Pasaje,240,2.5,600,2012-10-01
7611, Pantalón largo de tela de jeans,Unidad,0.6212901011518968,293.92,182.6095865305655,2012-10-01
7612, Camisa manga corta ,Unidad,0.6600037006796985,94.23,62.19214871504799,2012-10-01
7613, Calzoncillos,Unidad,1.56501893310219,29.1,45.54205095327373,2012-10-01
7614, Calcetines,Par,1.3198798072969047,21.09,27.83626513589172,2012-10-01
7615," Zapato  de cuero natural (mocasin, acordonado, cerrado, etc.)  ",Par,0.432211303669415,313.61,135.54578694376525,2012-10-01
7616, Blusa manga corta ,Unidad,0.66,82.38,54.3708,2012-10-01
7617, Pantalón largo de tela de jeans ,Unidad,0.51,274.27,139.8777,2012-10-01
7618, Vestido entero ,Unidad,0.5,213.77,106.885,2012-10-01
7619, Calzones/ Bikinis,Unidad,1.23,25.96,31.9308,2012-10-01
7620, Brassiers/ sostén,Unidad,0.97,29.830000000000002,28.935100000000002,2012-10-01
7621, Sandalias de cuero sintético ,Par,0.44,186.63,82.1172,2012-10-01
7622, Traje completo,Unidad,0.5019645078350022,219.05,109.95532544125724,2012-10-01
7623, Calzones,Unidad,1.4326365541172035,18.61,26.661366272121157,2012-10-01
7624, Calcetines,Par,1.3882846737113883,18.98,26.34964310704215,2012-10-01
7625, Zapato de cuero sintético ,Par,0.44713223086502013,251.93,112.64602292182452,2012-10-01
7626,Arroz ,Libra,38,10.43,396.34,2012-11-01
7627,Frijol ,Libra,34,10.66,362.44,2012-11-01
7628,Azúcar ,Libra,30,8.41,252.3,2012-11-01
7629,Aceite ,Litro,7,35.33,247.31,2012-11-01
7630,Posta de res,Libra,8,53.6,428.8,2012-11-01
7631,Posta de cerdo,Libra,5,52.480000000000004,262.40000000000003,2012-11-01
7632,Carne de aves,Libra,8,29.53,236.24,2012-11-01
7633,Chuleta de pescado,Libra,9,54.44,489.96,2012-11-01
7634,Leche ,Litro,30,19.96999999999999,599.0999999999998,2012-11-01
7635,Huevos,Docena,7,35.83,250.81,2012-11-01
7636,Queso seco,Libra,9,47.06,423.54,2012-11-01
7637,Tortilla ,Libra,57,13.1,746.6999999999999,2012-11-01
7638,Pinolillo,Libra,10,20.89,208.9,2012-11-01
7639,Pastas alimenticias  ,Libra,5,19.46,97.30000000000001,2012-11-01
7640,Pan ,Libra,27,20.52,554.04,2012-11-01
7641,Tomate de cocinar,Libra,14,13.02,182.28,2012-11-01
7642,Cebolla blanca,Libra,8,26.8,214.4,2012-11-01
7643,Papas,Libra,15,15.21,228.15,2012-11-01
7644,Ayote,Libra,32,5.1000000000000005,163.20000000000002,2012-11-01
7645,Chiltoma ,Libra,3,41.85,125.55000000000001,2012-11-01
7646,Plátano verde,Libra,16,6.09,97.44,2012-11-01
7647,Naranja ,Libra,46,3.49,160.54000000000002,2012-11-01
7648,Repollo,Libra,2,4.0200000000000005,8.040000000000001,2012-11-01
7649,Jabón de lavar ropa,Unidad,12.55,12.68,159.13400000000001,2012-11-01
7650,Detergente en polvo,Bolsita de 40 gramos ,27.97,2.09,58.4573,2012-11-01
7651,Pastas dental,Unidad de 115 grs ,2.13,27.98,59.5974,2012-11-01
7652,Fósforos,Cajita de 40 cerrillos,10.87,1,10.87,2012-11-01
7653,Escoba ,Unidad,1.22,37.550000000000004,45.81100000000001,2012-11-01
7654,Papel higiénico,Rollos,10.71,10.5,112.45500000000001,2012-11-01
7655,Jabón de baño,Unidad,4.67,5.78,26.9926,2012-11-01
7656,Toallas sanitarias ,Bolsa de 10 unid,2.21,13.64,30.1444,2012-11-01
7657,Desodorante nacional,Unidad,1.9,20.59,39.120999999999995,2012-11-01
7658,Cepillo dental,Unidad,2.49,9.89,24.626100000000005,2012-11-01
7659,Alquiler,Valor (C$) mensual,1,900,900,2012-11-01
7660,Gas butano , 25 libras,1,255.4632241581959,255.4632241581959,2012-11-01
7661,Luz eléctrica,KWH,100,2.420581,242.0581,2012-11-01
7662,Agua,Galones,5292,0.01559,82.50228,2012-11-01
7663,Transporte ,Pasaje,240,2.5,600,2012-11-01
7664, Pantalón largo de tela de jeans,Unidad,0.6212901011518968,296.15000000000003,183.99506345613423,2012-11-01
7665, Camisa manga corta ,Unidad,0.6600037006796985,96.4,63.62435674552294,2012-11-01
7666, Calzoncillos,Unidad,1.56501893310219,29.98,46.91926761440366,2012-11-01
7667, Calcetines,Par,1.3198798072969047,21.72,28.66778941448877,2012-11-01
7668," Zapato  de cuero natural (mocasin, acordonado, cerrado, etc.)  ",Par,0.432211303669415,322.66,139.45729924197346,2012-11-01
7669, Blusa manga corta ,Unidad,0.66,82.48,54.436800000000005,2012-11-01
7670, Pantalón largo de tela de jeans ,Unidad,0.51,277.48,141.5148,2012-11-01
7671, Vestido entero ,Unidad,0.5,215.96,107.98,2012-11-01
7672, Calzones/ Bikinis,Unidad,1.23,26.150000000000002,32.164500000000004,2012-11-01
7673, Brassiers/ sostén,Unidad,0.97,29.830000000000002,28.935100000000002,2012-11-01
7674, Sandalias de cuero sintético ,Par,0.44,187.09,82.31960000000001,2012-11-01
7675, Traje completo,Unidad,0.5019645078350022,219.67000000000002,110.26654343611494,2012-11-01
7676, Calzones,Unidad,1.4326365541172035,19.17,27.463642742426792,2012-11-01
7677, Calcetines,Par,1.3882846737113883,18.98,26.34964310704215,2012-11-01
7678, Zapato de cuero sintético ,Par,0.44713223086502013,253.8,113.48216019354211,2012-11-01
7679,Arroz ,Libra,38,10.47,397.86,2012-12-01
7680,Frijol ,Libra,34,10.58,359.72,2012-12-01
7681,Azúcar ,Libra,30,8.43,252.89999999999998,2012-12-01
7682,Aceite ,Litro,7,35.050000000000004,245.35000000000002,2012-12-01
7683,Posta de res,Libra,8,54.730000000000004,437.84000000000003,2012-12-01
7684,Posta de cerdo,Libra,5,53.32,266.6,2012-12-01
7685,Carne de aves,Libra,8,29.96,239.68,2012-12-01
7686,Chuleta de pescado,Libra,9,53.980000000000004,485.82000000000005,2012-12-01
7687,Leche ,Litro,30,21.433109764192487,642.9932929257747,2012-12-01
7688,Huevos,Docena,7,40.68,284.76,2012-12-01
7689,Queso seco,Libra,9,49.84,448.56000000000006,2012-12-01
7690,Tortilla ,Libra,57,14.17,807.6899999999999,2012-12-01
7691,Pinolillo,Libra,10,20.89,208.9,2012-12-01
7692,Pastas alimenticias  ,Libra,5,19.82,99.1,2012-12-01
7693,Pan ,Libra,27,21.53,581.3100000000001,2012-12-01
7694,Tomate de cocinar,Libra,14,15.9,222.6,2012-12-01
7695,Cebolla blanca,Libra,8,21.13,169.04,2012-12-01
7696,Papas,Libra,15,16.34,245.1,2012-12-01
7697,Ayote,Libra,32,6.05,193.6,2012-12-01
7698,Chiltoma ,Libra,3,43.97,131.91,2012-12-01
7699,Plátano verde,Libra,16,6.21,99.36,2012-12-01
7700,Naranja ,Libra,46,3.52,161.92,2012-12-01
7701,Repollo,Libra,2,4.1,8.2,2012-12-01
7702,Jabón de lavar ropa,Unidad,12.55,12.75,160.01250000000002,2012-12-01
7703,Detergente en polvo,Bolsita de 40 gramos ,27.97,2.09,58.4573,2012-12-01
7704,Pastas dental,Unidad de 115 grs ,2.13,27.990000000000002,59.618700000000004,2012-12-01
7705,Fósforos,Cajita de 40 cerrillos,10.87,1,10.87,2012-12-01
7706,Escoba ,Unidad,1.22,37.550000000000004,45.81100000000001,2012-12-01
7707,Papel higiénico,Rollos,10.71,10.46,112.02660000000002,2012-12-01
7708,Jabón de baño,Unidad,4.67,5.72,26.7124,2012-12-01
7709,Toallas sanitarias ,Bolsa de 10 unid,2.21,13.81,30.5201,2012-12-01
7710,Desodorante nacional,Unidad,1.9,20.52,38.988,2012-12-01
7711,Cepillo dental,Unidad,2.49,9.89,24.626100000000005,2012-12-01
7712,Alquiler,Valor (C$) mensual,1,900,900,2012-12-01
7713,Gas butano , 25 libras,1,252.3938669892372,252.3938669892372,2012-12-01
7714,Luz eléctrica,KWH,100,2.4304415,243.04415,2012-12-01
7715,Agua,Galones,5292,0.01559,82.50228,2012-12-01
7716,Transporte ,Pasaje,240,2.5,600,2012-12-01
7717, Pantalón largo de tela de jeans,Unidad,0.6212901011518968,302.14,187.71659116203406,2012-12-01
7718, Camisa manga corta ,Unidad,0.6600037006796985,96.95,63.98735878089677,2012-12-01
7719, Calzoncillos,Unidad,1.56501893310219,30.1,47.10706988637592,2012-12-01
7720, Calcetines,Par,1.3198798072969047,22.080000000000002,29.14294614511566,2012-12-01
7721," Zapato  de cuero natural (mocasin, acordonado, cerrado, etc.)  ",Par,0.432211303669415,326.67,141.1904665696878,2012-12-01
7722, Blusa manga corta ,Unidad,0.66,83.34,55.004400000000004,2012-12-01
7723, Pantalón largo de tela de jeans ,Unidad,0.51,283.45,144.55949999999999,2012-12-01
7724, Vestido entero ,Unidad,0.5,218.54,109.27,2012-12-01
7725, Calzones/ Bikinis,Unidad,1.23,26.86,33.0378,2012-12-01
7726, Brassiers/ sostén,Unidad,0.97,30.240000000000002,29.332800000000002,2012-12-01
7727, Sandalias de cuero sintético ,Par,0.44,194.41,85.5404,2012-12-01
7728, Traje completo,Unidad,0.5019645078350022,227.11,114.00115937440737,2012-12-01
7729, Calzones,Unidad,1.4326365541172035,19.48,27.907760074203125,2012-12-01
7730, Calcetines,Par,1.3882846737113883,19.22,26.682831428732882,2012-12-01
7731, Zapato de cuero sintético ,Par,0.44713223086502013,254.88,113.96506300287633,2012-12-01
7732,Arroz ,Libra,38,9.22,350.36,2011-01-01
7733,Frijol ,Libra,34,17.19,584.46,2011-01-01
7734,Azúcar ,Libra,30,6.48,194.4,2011-01-01
7735,Aceite ,Litro,7,37.49,262.43,2011-01-01
7736,Posta de res,Libra,8,39.09,312.72,2011-01-01
7737,Posta de cerdo,Libra,5,45.01,225.04999999999998,2011-01-01
7738,Carne de aves,Libra,8,22.2,177.6,2011-01-01
7739,Chuleta de pescado,Libra,9,43.21,388.89,2011-01-01
7740,Leche ,Litro,30,16.03,480.90000000000003,2011-01-01
7741,Huevos,Docena,7,33.8,236.59999999999997,2011-01-01
7742,Queso seco,Libra,9,38.93,350.37,2011-01-01
7743,Tortilla ,Libra,57,9.67,551.1899999999999,2011-01-01
7744,Pinolillo,Libra,10,18.76,187.60000000000002,2011-01-01
7745,Pastas alimenticias  ,Libra,5,18.86,94.3,2011-01-01
7746,Pan ,Libra,27,17.17,463.59000000000003,2011-01-01
7747,Tomate de cocinar,Libra,14,9.18,128.51999999999998,2011-01-01
7748,Cebolla blanca,Libra,8,14.71,117.68,2011-01-01
7749,Papas,Libra,15,13.700000000000001,205.50000000000003,2011-01-01
7750,Ayote,Libra,32,5.21,166.72,2011-01-01
7751,Chiltoma ,Libra,3,19.42,58.260000000000005,2011-01-01
7752,Plátano verde,Libra,16,4.95,79.2,2011-01-01
7753,Naranja ,Libra,46,3.46,159.16,2011-01-01
7754,Repollo,Libra,2,7.25,14.5,2011-01-01
7755,Jabón de lavar ropa,Unidad,12.55,10.65,133.6575,2011-01-01
7756,Detergente en polvo,Bolsita de 40 gramos ,27.97,1.96,54.8212,2011-01-01
7757,Pastas dental,Unidad de 115 grs ,2.13,24.7,52.611,2011-01-01
7758,Fósforos,Cajita de 40 cerrillos,10.87,0.98,10.6526,2011-01-01
7759,Escoba ,Unidad,1.22,33.21,40.5162,2011-01-01
7760,Papel higiénico,Rollos,10.71,9.23,98.85330000000002,2011-01-01
7761,Jabón de baño,Unidad,4.67,5.0600000000000005,23.630200000000002,2011-01-01
7762,Toallas sanitarias ,Bolsa de 10 unid,2.21,12.11,26.763099999999998,2011-01-01
7763,Desodorante nacional,Unidad,1.9,18.85,35.815,2011-01-01
7764,Cepillo dental,Unidad,2.49,9.6,23.904,2011-01-01
7765,Alquiler,Valor (C$) mensual,1,900,900,2011-01-01
7766,Gas butano , 25 libras,1,270,270,2011-01-01
7767,Luz eléctrica,KWH,100,2.209194,220.9194,2011-01-01
7768,Agua,Galones,5292,0.01559,82.50228,2011-01-01
7769,Transporte ,Pasaje,240,2.5,600,2011-01-01
7770, Pantalón largo de tela de jeans,Unidad,0.62,221.08,137.0696,2011-01-01
7771, Camisa manga corta ,Unidad,0.66,76.16,50.2656,2011-01-01
7772, Calzoncillos,Unidad,1.57,19.5,30.615000000000002,2011-01-01
7773, Calcetines,Par,1.32,16.2,21.384,2011-01-01
7774," Zapato  de cuero natural (mocasin, acordonado, cerrado, etc.)  ",Par,0.43,270.31,116.2333,2011-01-01
7775, Blusa manga corta ,Unidad,0.66,60.370000000000005,39.84420000000001,2011-01-01
7776, Pantalón largo de tela de jeans ,Unidad,0.51,221.21,112.81710000000001,2011-01-01
7777, Vestido entero ,Unidad,0.5,165.63,82.815,2011-01-01
7778, Calzones/ Bikinis,Unidad,1.23,19.38,23.8374,2011-01-01
7779, Brassiers/ sostén,Unidad,0.97,22.09,21.4273,2011-01-01
7780, Sandalias de cuero sintético ,Par,0.44,146.84,64.6096,2011-01-01
7781, Traje completo,Unidad,0.5,166.34,83.17,2011-01-01
7782, Calzones,Unidad,1.43,15.530000000000001,22.207900000000002,2011-01-01
7783, Calcetines,Par,1.39,15.8,21.962,2011-01-01
7784, Zapato de cuero sintético ,Par,0.45,203.08,91.38600000000001,2011-01-01
7785,Arroz ,Libra,38,9.21,349.98,2011-02-01
7786,Frijol ,Libra,34,16.01,544.34,2011-02-01
7787,Azúcar ,Libra,30,6.5600000000000005,196.8,2011-02-01
7788,Aceite ,Litro,7,39.46,276.22,2011-02-01
7789,Posta de res,Libra,8,39.36,314.88,2011-02-01
7790,Posta de cerdo,Libra,5,45.84,229.20000000000002,2011-02-01
7791,Carne de aves,Libra,8,22.85,182.8,2011-02-01
7792,Chuleta de pescado,Libra,9,44.82,403.38,2011-02-01
7793,Leche ,Litro,30,16.62,498.6,2011-02-01
7794,Huevos,Docena,7,33.57,234.99,2011-02-01
7795,Queso seco,Libra,9,38.800000000000004,349.20000000000005,2011-02-01
7796,Tortilla ,Libra,57,9.27,528.39,2011-02-01
7797,Pinolillo,Libra,10,18.67,186.70000000000002,2011-02-01
7798,Pastas alimenticias  ,Libra,5,19.2,96,2011-02-01
7799,Pan ,Libra,27,17.62,475.74,2011-02-01
7800,Tomate de cocinar,Libra,14,5.78,80.92,2011-02-01
7801,Cebolla blanca,Libra,8,14.57,116.56,2011-02-01
7802,Papas,Libra,15,14.98,224.70000000000002,2011-02-01
7803,Ayote,Libra,32,5.08,162.56,2011-02-01
7804,Chiltoma ,Libra,3,15.91,47.730000000000004,2011-02-01
7805,Plátano verde,Libra,16,4.89,78.24,2011-02-01
7806,Naranja ,Libra,46,4.32,198.72000000000003,2011-02-01
7807,Repollo,Libra,2,5.03,10.06,2011-02-01
7808,Jabón de lavar ropa,Unidad,12.55,11.03,138.4265,2011-02-01
7809,Detergente en polvo,Bolsita de 40 gramos ,27.97,1.96,54.8212,2011-02-01
7810,Pastas dental,Unidad de 115 grs ,2.13,24.810000000000002,52.8453,2011-02-01
7811,Fósforos,Cajita de 40 cerrillos,10.87,0.98,10.6526,2011-02-01
7812,Escoba ,Unidad,1.22,33.26,40.5772,2011-02-01
7813,Papel higiénico,Rollos,10.71,9.42,100.88820000000001,2011-02-01
7814,Jabón de baño,Unidad,4.67,5.09,23.7703,2011-02-01
7815,Toallas sanitarias ,Bolsa de 10 unid,2.21,12.21,26.9841,2011-02-01
7816,Desodorante nacional,Unidad,1.9,18.89,35.891,2011-02-01
7817,Cepillo dental,Unidad,2.49,9.67,24.078300000000002,2011-02-01
7818,Alquiler,Valor (C$) mensual,1,900,900,2011-02-01
7819,Gas butano , 25 libras,1,275.2857142857143,275.2857142857143,2011-02-01
7820,Luz eléctrica,KWH,100,2.21836525,221.83652500000002,2011-02-01
7821,Agua,Galones,5292,0.01559,82.50228,2011-02-01
7822,Transporte ,Pasaje,240,2.5,600,2011-02-01
7823, Pantalón largo de tela de jeans,Unidad,0.62,223.13,138.3406,2011-02-01
7824, Camisa manga corta ,Unidad,0.66,74.81,49.3746,2011-02-01
7825, Calzoncillos,Unidad,1.57,19.6,30.772000000000002,2011-02-01
7826, Calcetines,Par,1.32,16.2,21.384,2011-02-01
7827," Zapato  de cuero natural (mocasin, acordonado, cerrado, etc.)  ",Par,0.43,272.31,117.0933,2011-02-01
7828, Blusa manga corta ,Unidad,0.66,60.7,40.062000000000005,2011-02-01
7829, Pantalón largo de tela de jeans ,Unidad,0.51,221.91,113.1741,2011-02-01
7830, Vestido entero ,Unidad,0.5,165.6,82.8,2011-02-01
7831, Calzones/ Bikinis,Unidad,1.23,20.01,24.6123,2011-02-01
7832, Brassiers/ sostén,Unidad,0.97,22.5,21.825,2011-02-01
7833, Sandalias de cuero sintético ,Par,0.44,148.48,65.3312,2011-02-01
7834, Traje completo,Unidad,0.5,167.46,83.73,2011-02-01
7835, Calzones,Unidad,1.43,15.530000000000001,22.207900000000002,2011-02-01
7836, Calcetines,Par,1.39,15.99,22.2261,2011-02-01
7837, Zapato de cuero sintético ,Par,0.45,205.5,92.47500000000001,2011-02-01
7838,Arroz ,Libra,38,9.25,351.5,2011-03-01
7839,Frijol ,Libra,34,15.4,523.6,2011-03-01
7840,Azúcar ,Libra,30,6.72,201.6,2011-03-01
7841,Aceite ,Litro,7,39.68,277.76,2011-03-01
7842,Posta de res,Libra,8,39.64,317.12,2011-03-01
7843,Posta de cerdo,Libra,5,46.78,233.9,2011-03-01
7844,Carne de aves,Libra,8,23.57,188.56,2011-03-01
7845,Chuleta de pescado,Libra,9,45.31,407.79,2011-03-01
7846,Leche ,Litro,30,16.62,498.6,2011-03-01
7847,Huevos,Docena,7,33.85,236.95000000000002,2011-03-01
7848,Queso seco,Libra,9,38.81,349.29,2011-03-01
7849,Tortilla ,Libra,57,9.63,548.9100000000001,2011-03-01
7850,Pinolillo,Libra,10,18.72,187.2,2011-03-01
7851,Pastas alimenticias  ,Libra,5,19.54,97.69999999999999,2011-03-01
7852,Pan ,Libra,27,17.92,483.84000000000003,2011-03-01
7853,Tomate de cocinar,Libra,14,4.61,64.54,2011-03-01
7854,Cebolla blanca,Libra,8,12.71,101.68,2011-03-01
7855,Papas,Libra,15,12.3,184.5,2011-03-01
7856,Ayote,Libra,32,5.32,170.24,2011-03-01
7857,Chiltoma ,Libra,3,14.46,43.38,2011-03-01
7858,Plátano verde,Libra,16,5.16,82.56,2011-03-01
7859,Naranja ,Libra,46,5.44,250.24,2011-03-01
7860,Repollo,Libra,2,3.64,7.28,2011-03-01
7861,Jabón de lavar ropa,Unidad,12.55,10.99,137.92450000000002,2011-03-01
7862,Detergente en polvo,Bolsita de 40 gramos ,27.97,2.0300000000000002,56.77910000000001,2011-03-01
7863,Pastas dental,Unidad de 115 grs ,2.13,24.91,53.058299999999996,2011-03-01
7864,Fósforos,Cajita de 40 cerrillos,10.87,0.98,10.6526,2011-03-01
7865,Escoba ,Unidad,1.22,33.26,40.5772,2011-03-01
7866,Papel higiénico,Rollos,10.71,9.49,101.63790000000002,2011-03-01
7867,Jabón de baño,Unidad,4.67,5.16,24.0972,2011-03-01
7868,Toallas sanitarias ,Bolsa de 10 unid,2.21,12.24,27.0504,2011-03-01
7869,Desodorante nacional,Unidad,1.9,18.990000000000002,36.081,2011-03-01
7870,Cepillo dental,Unidad,2.49,9.67,24.078300000000002,2011-03-01
7871,Alquiler,Valor (C$) mensual,1,900,900,2011-03-01
7872,Gas butano , 25 libras,1,279.7985346486229,279.7985346486229,2011-03-01
7873,Luz eléctrica,KWH,100,2.22664825,222.664825,2011-03-01
7874,Agua,Galones,5292,0.01559,82.50228,2011-03-01
7875,Transporte ,Pasaje,240,2.5,600,2011-03-01
7876, Pantalón largo de tela de jeans,Unidad,0.62,228.16,141.4592,2011-03-01
7877, Camisa manga corta ,Unidad,0.66,75.11,49.5726,2011-03-01
7878, Calzoncillos,Unidad,1.57,20.16,31.651200000000003,2011-03-01
7879, Calcetines,Par,1.32,16.740000000000002,22.096800000000005,2011-03-01
7880," Zapato  de cuero natural (mocasin, acordonado, cerrado, etc.)  ",Par,0.43,272.46,117.1578,2011-03-01
7881, Blusa manga corta ,Unidad,0.66,60.79,40.1214,2011-03-01
7882, Pantalón largo de tela de jeans ,Unidad,0.51,224.36,114.42360000000001,2011-03-01
7883, Vestido entero ,Unidad,0.5,168.58,84.29,2011-03-01
7884, Calzones/ Bikinis,Unidad,1.23,20.12,24.747600000000002,2011-03-01
7885, Brassiers/ sostén,Unidad,0.97,22.78,22.096600000000002,2011-03-01
7886, Sandalias de cuero sintético ,Par,0.44,149.3,65.69200000000001,2011-03-01
7887, Traje completo,Unidad,0.5,167.55,83.775,2011-03-01
7888, Calzones,Unidad,1.43,15.59,22.293699999999998,2011-03-01
7889, Calcetines,Par,1.39,15.94,22.156599999999997,2011-03-01
7890, Zapato de cuero sintético ,Par,0.45,206.97,93.1365,2011-03-01
7891,Arroz ,Libra,38,9.25,351.5,2011-04-01
7892,Frijol ,Libra,34,15.21,517.14,2011-04-01
7893,Azúcar ,Libra,30,6.890000000000001,206.70000000000002,2011-04-01
7894,Aceite ,Litro,7,40.19,281.33,2011-04-01
7895,Posta de res,Libra,8,40.26,322.08,2011-04-01
7896,Posta de cerdo,Libra,5,46.99,234.95000000000002,2011-04-01
7897,Carne de aves,Libra,8,23.78,190.24,2011-04-01
7898,Chuleta de pescado,Libra,9,45.14,406.26,2011-04-01
7899,Leche ,Litro,30,16.62,498.6,2011-04-01
7900,Huevos,Docena,7,33.480000000000004,234.36,2011-04-01
7901,Queso seco,Libra,9,40.43,363.87,2011-04-01
7902,Tortilla ,Libra,57,10.25,584.25,2011-04-01
7903,Pinolillo,Libra,10,18.85,188.5,2011-04-01
7904,Pastas alimenticias  ,Libra,5,19.98,99.9,2011-04-01
7905,Pan ,Libra,27,18.89,510.03000000000003,2011-04-01
7906,Tomate de cocinar,Libra,14,5.2,72.8,2011-04-01
7907,Cebolla blanca,Libra,8,12.17,97.36,2011-04-01
7908,Papas,Libra,15,9.67,145.05,2011-04-01
7909,Ayote,Libra,32,5.09,162.88,2011-04-01
7910,Chiltoma ,Libra,3,14.32,42.96,2011-04-01
7911,Plátano verde,Libra,16,5.3100000000000005,84.96000000000001,2011-04-01
7912,Naranja ,Libra,46,6.41,294.86,2011-04-01
7913,Repollo,Libra,2,3.5100000000000002,7.0200000000000005,2011-04-01
7914,Jabón de lavar ropa,Unidad,12.55,11.040000000000001,138.55200000000002,2011-04-01
7915,Detergente en polvo,Bolsita de 40 gramos ,27.97,2.02,56.4994,2011-04-01
7916,Pastas dental,Unidad de 115 grs ,2.13,25.34,53.974199999999996,2011-04-01
7917,Fósforos,Cajita de 40 cerrillos,10.87,0.98,10.6526,2011-04-01
7918,Escoba ,Unidad,1.22,33.81,41.248200000000004,2011-04-01
7919,Papel higiénico,Rollos,10.71,9.59,102.7089,2011-04-01
7920,Jabón de baño,Unidad,4.67,5.19,24.2373,2011-04-01
7921,Toallas sanitarias ,Bolsa de 10 unid,2.21,12.38,27.3598,2011-04-01
7922,Desodorante nacional,Unidad,1.9,18.990000000000002,36.081,2011-04-01
7923,Cepillo dental,Unidad,2.49,9.58,23.854200000000002,2011-04-01
7924,Alquiler,Valor (C$) mensual,1,900,900,2011-04-01
7925,Gas butano , 25 libras,1,287.72,287.72,2011-04-01
7926,Luz eléctrica,KWH,100,2.2358795,223.58794999999998,2011-04-01
7927,Agua,Galones,5292,0.01559,82.50228,2011-04-01
7928,Transporte ,Pasaje,240,2.5,600,2011-04-01
7929, Pantalón largo de tela de jeans,Unidad,0.62,229.23,142.1226,2011-04-01
7930, Camisa manga corta ,Unidad,0.66,75.88,50.080799999999996,2011-04-01
7931, Calzoncillos,Unidad,1.57,20.63,32.3891,2011-04-01
7932, Calcetines,Par,1.32,16.84,22.2288,2011-04-01
7933," Zapato  de cuero natural (mocasin, acordonado, cerrado, etc.)  ",Par,0.43,273.31,117.5233,2011-04-01
7934, Blusa manga corta ,Unidad,0.66,63.11,41.6526,2011-04-01
7935, Pantalón largo de tela de jeans ,Unidad,0.51,225.87,115.1937,2011-04-01
7936, Vestido entero ,Unidad,0.5,170.35,85.175,2011-04-01
7937, Calzones/ Bikinis,Unidad,1.23,20.47,25.178099999999997,2011-04-01
7938, Brassiers/ sostén,Unidad,0.97,23.07,22.3779,2011-04-01
7939, Sandalias de cuero sintético ,Par,0.44,150.6,66.264,2011-04-01
7940, Traje completo,Unidad,0.5,173.09,86.545,2011-04-01
7941, Calzones,Unidad,1.43,15.66,22.3938,2011-04-01
7942, Calcetines,Par,1.39,16.01,22.2539,2011-04-01
7943, Zapato de cuero sintético ,Par,0.45,214.01,96.3045,2011-04-01
7944,Arroz ,Libra,38,9.23,350.74,2011-05-01
7945,Frijol ,Libra,34,16.61,564.74,2011-05-01
7946,Azúcar ,Libra,30,7.0200000000000005,210.60000000000002,2011-05-01
7947,Aceite ,Litro,7,39.730000000000004,278.11,2011-05-01
7948,Posta de res,Libra,8,41.1,328.8,2011-05-01
7949,Posta de cerdo,Libra,5,46.92,234.60000000000002,2011-05-01
7950,Carne de aves,Libra,8,24.82,198.56,2011-05-01
7951,Chuleta de pescado,Libra,9,46.81,421.29,2011-05-01
7952,Leche ,Litro,30,16.62,498.6,2011-05-01
7953,Huevos,Docena,7,33.96,237.72,2011-05-01
7954,Queso seco,Libra,9,41.300000000000004,371.70000000000005,2011-05-01
7955,Tortilla ,Libra,57,11.09,632.13,2011-05-01
7956,Pinolillo,Libra,10,18.8,188,2011-05-01
7957,Pastas alimenticias  ,Libra,5,20.48,102.4,2011-05-01
7958,Pan ,Libra,27,18.17,490.59000000000003,2011-05-01
7959,Tomate de cocinar,Libra,14,5.5600000000000005,77.84,2011-05-01
7960,Cebolla blanca,Libra,8,11.05,88.4,2011-05-01
7961,Papas,Libra,15,9.14,137.10000000000002,2011-05-01
7962,Ayote,Libra,32,5.0600000000000005,161.92000000000002,2011-05-01
7963,Chiltoma ,Libra,3,14.23,42.69,2011-05-01
7964,Plátano verde,Libra,16,5.15,82.4,2011-05-01
7965,Naranja ,Libra,46,6.03,277.38,2011-05-01
7966,Repollo,Libra,2,3.0300000000000002,6.0600000000000005,2011-05-01
7967,Jabón de lavar ropa,Unidad,12.55,11.200000000000001,140.56000000000003,2011-05-01
7968,Detergente en polvo,Bolsita de 40 gramos ,27.97,1.99,55.6603,2011-05-01
7969,Pastas dental,Unidad de 115 grs ,2.13,26.29,55.997699999999995,2011-05-01
7970,Fósforos,Cajita de 40 cerrillos,10.87,0.98,10.6526,2011-05-01
7971,Escoba ,Unidad,1.22,34.02,41.504400000000004,2011-05-01
7972,Papel higiénico,Rollos,10.71,9.69,103.7799,2011-05-01
7973,Jabón de baño,Unidad,4.67,5.28,24.657600000000002,2011-05-01
7974,Toallas sanitarias ,Bolsa de 10 unid,2.21,12.620000000000001,27.8902,2011-05-01
7975,Desodorante nacional,Unidad,1.9,19.54,37.126,2011-05-01
7976,Cepillo dental,Unidad,2.49,9.58,23.854200000000002,2011-05-01
7977,Alquiler,Valor (C$) mensual,1,900,900,2011-05-01
7978,Gas butano , 25 libras,1,297.6353345226723,297.6353345226723,2011-05-01
7979,Luz eléctrica,KWH,100,2.2448757500000003,224.48757500000002,2011-05-01
7980,Agua,Galones,5292,0.01559,82.50228,2011-05-01
7981,Transporte ,Pasaje,240,2.5,600,2011-05-01
7982, Pantalón largo de tela de jeans,Unidad,0.62,236.54,146.6548,2011-05-01
7983, Camisa manga corta ,Unidad,0.66,76.89,50.747400000000006,2011-05-01
7984, Calzoncillos,Unidad,1.57,22.080000000000002,34.665600000000005,2011-05-01
7985, Calcetines,Par,1.32,17.23,22.7436,2011-05-01
